Element,Atomic Number,Mass Number,Neutron Count,Proton Count,Binding Energy (MeV),Half-Life (seconds),Decay Mode,Stability Index,Predicted Existence Probability (%)
Nitrogen,7,23,16,7,1.73,146263.988709,Beta,0.792,77.31
Beryllium,4,10,6,4,2.452,441726.608947,Alpha,0.553,82.86
Beryllium,4,16,12,4,3.05,449895.652593,Alpha,0.259,67.68
Boron,5,19,14,5,2.7,665472.435558,Beta,0.706,91.35
Helium,2,7,5,2,1.224,inf,Stable,0.406,75.87
Fluorine,9,18,9,9,4.169,239506.361689,Alpha,0.164,70.69
Hydrogen,1,4,3,1,9.149,942492.600152,Spontaneous Fission,0.682,62.47
Hydrogen,1,3,2,1,8.388,319327.396479,Alpha,0.914,78.63
Hydrogen,1,3,2,1,3.39,336267.553695,Alpha,0.588,77.0
Boron,5,19,14,5,5.272,809717.899079,Alpha,0.049,94.19
Neon,10,37,27,10,6.273,819348.226849,Gamma,0.948,95.07
Neon,10,36,26,10,6.344,187318.694142,Spontaneous Fission,0.079,83.66
Beryllium,4,10,6,4,3.581,173548.828214,Spontaneous Fission,0.806,56.53
Carbon,6,20,14,6,6.795,3487.884746,Gamma,0.43,58.78
Nitrogen,7,15,8,7,5.947,423550.325916,Beta,0.711,74.87
Fluorine,9,31,22,9,5.174,inf,Stable,0.855,51.19
Carbon,6,23,17,6,8.676,565306.324234,Beta,0.922,63.84
Boron,5,20,15,5,8.658,inf,Stable,0.285,94.87
Lithium,3,7,4,3,7.372,363445.377289,Alpha,0.35,85.04
Lithium,3,6,3,3,2.012,inf,Stable,0.999,95.87
Oxygen,8,23,15,8,2.334,132379.699235,Beta,0.892,60.23
Neon,10,20,10,10,1.811,692454.970698,Spontaneous Fission,0.058,84.66
Nitrogen,7,27,20,7,8.615,896294.760706,Beta,0.692,82.07
Helium,2,5,3,2,4.93,341732.013868,Gamma,0.024,54.69
Nitrogen,7,19,12,7,8.539,854108.539922,Beta,0.82,55.64
Fluorine,9,21,12,9,3.563,225691.468752,Gamma,0.175,79.85
Neon,10,28,18,10,4.529,499737.745124,Beta,0.652,58.68
Oxygen,8,27,19,8,3.218,217745.97494,Gamma,0.37,98.94
Oxygen,8,24,16,8,6.62,415853.536698,Gamma,0.616,98.68
Oxygen,8,26,18,8,7.392,725969.343404,Spontaneous Fission,0.63,77.25
Oxygen,8,26,18,8,6.069,inf,Stable,0.378,89.39
Hydrogen,1,4,3,1,5.255,877718.103352,Spontaneous Fission,0.998,80.0
Hydrogen,1,4,3,1,7.895,941675.388768,Gamma,0.988,89.98
Lithium,3,10,7,3,3.681,575565.080148,Gamma,0.836,61.65
Hydrogen,1,2,1,1,2.892,207232.324091,Beta,0.36,51.32
Carbon,6,19,13,6,8.641,713986.452425,Spontaneous Fission,0.643,83.11
Beryllium,4,13,9,4,3.156,inf,Stable,0.265,51.69
Hydrogen,1,4,3,1,2.597,inf,Stable,0.522,87.74
Hydrogen,1,3,2,1,9.463,662189.236488,Beta,0.744,79.57
Oxygen,8,18,10,8,5.737,40428.125142,Gamma,0.162,57.29
Hydrogen,1,3,2,1,3.108,542796.564049,Beta,0.544,64.95
Lithium,3,7,4,3,1.728,392794.838318,Alpha,0.039,61.71
Helium,2,6,4,2,8.034,491215.14522,Alpha,0.668,78.73
Oxygen,8,32,24,8,4.323,inf,Stable,0.9,89.19
Nitrogen,7,20,13,7,3.519,923393.417906,Alpha,0.422,76.53
Nitrogen,7,22,15,7,8.261,inf,Stable,0.965,92.64
Beryllium,4,10,6,4,4.435,inf,Stable,0.128,64.33
Lithium,3,7,4,3,8.497,inf,Stable,0.135,53.1
Neon,10,38,28,10,1.81,836750.512202,Gamma,0.896,86.76
Oxygen,8,27,19,8,7.473,609194.91776,Spontaneous Fission,0.014,50.69
Oxygen,8,29,21,8,5.664,595753.834382,Alpha,0.738,68.96
Boron,5,12,7,5,4.004,322310.224091,Beta,0.948,96.96
Carbon,6,13,7,6,8.974,462462.69572,Beta,0.066,84.27
Lithium,3,9,6,3,4.473,124056.477068,Beta,0.241,79.45
Hydrogen,1,3,2,1,2.201,26693.839944,Spontaneous Fission,0.874,68.14
Carbon,6,22,16,6,4.707,432477.832041,Alpha,0.167,79.45
Nitrogen,7,17,10,7,7.716,624601.920766,Spontaneous Fission,0.511,88.91
Neon,10,25,15,10,4.676,60936.542967,Beta,0.844,78.55
Neon,10,37,27,10,3.205,inf,Stable,0.727,76.73
Oxygen,8,24,16,8,4.995,138852.030211,Gamma,0.498,95.04
Fluorine,9,28,19,9,7.738,809305.03543,Alpha,0.694,81.0
Beryllium,4,12,8,4,7.697,inf,Stable,0.548,84.13
Helium,2,7,5,2,5.054,680335.144814,Beta,0.58,83.15
Fluorine,9,20,11,9,5.237,1684.955848,Gamma,0.057,60.37
Boron,5,14,9,5,6.417,15309.732891,Alpha,0.514,60.42
Nitrogen,7,26,19,7,2.02,inf,Stable,0.802,75.85
Beryllium,4,9,5,4,4.504,159638.902032,Beta,0.275,74.38
Beryllium,4,9,5,4,2.462,447029.456119,Beta,0.888,71.95
Boron,5,18,13,5,6.645,861195.761389,Gamma,0.66,55.29
Carbon,6,23,17,6,2.564,336817.185149,Gamma,0.471,54.09
Oxygen,8,26,18,8,8.171,560643.377739,Alpha,0.976,61.07
Boron,5,16,11,5,9.706,972056.063481,Alpha,0.162,53.81
Lithium,3,9,6,3,1.469,988915.564063,Spontaneous Fission,0.7,66.11
Carbon,6,14,8,6,4.972,inf,Stable,0.324,70.19
Boron,5,12,7,5,5.883,969094.354475,Alpha,0.484,89.69
Fluorine,9,18,9,9,9.163,322425.482918,Gamma,0.333,92.92
Helium,2,7,5,2,5.97,612054.69112,Beta,0.329,64.13
Hydrogen,1,3,2,1,5.923,594394.331697,Spontaneous Fission,0.275,50.92
Hydrogen,1,2,1,1,3.786,788173.922092,Alpha,0.44,71.46
Hydrogen,1,3,2,1,1.807,inf,Stable,0.874,86.45
Lithium,3,6,3,3,9.408,inf,Stable,0.456,52.48
Nitrogen,7,28,21,7,2.451,715055.443743,Beta,0.41,59.2
Fluorine,9,28,19,9,3.816,407234.610295,Gamma,0.218,68.94
Fluorine,9,18,9,9,6.332,989411.639521,Alpha,0.098,52.13
Boron,5,15,10,5,3.893,574503.96629,Alpha,0.153,90.85
Oxygen,8,22,14,8,5.026,816454.927801,Spontaneous Fission,0.907,53.44
Lithium,3,10,7,3,2.466,763526.904151,Beta,0.908,65.69
Neon,10,33,23,10,5.248,inf,Stable,0.293,79.79
Hydrogen,1,3,2,1,8.559,7447.208677,Beta,0.739,76.52
Lithium,3,7,4,3,7.253,613130.352348,Beta,0.248,93.03
Helium,2,8,6,2,7.065,570408.341069,Beta,0.991,54.86
Carbon,6,19,13,6,5.579,inf,Stable,0.262,84.4
Helium,2,8,6,2,4.797,571111.938666,Beta,0.36,55.19
Nitrogen,7,16,9,7,7.265,460384.798272,Alpha,0.598,71.37
Carbon,6,13,7,6,5.872,359176.143307,Spontaneous Fission,0.883,53.42
Carbon,6,20,14,6,7.397,829103.828309,Spontaneous Fission,0.358,89.89
Carbon,6,14,8,6,3.403,734767.256507,Beta,0.407,94.82
Fluorine,9,34,25,9,8.749,inf,Stable,0.489,86.99
Nitrogen,7,24,17,7,7.495,944597.499048,Gamma,0.407,64.15
Carbon,6,15,9,6,5.096,inf,Stable,0.436,92.07
Neon,10,35,25,10,3.396,inf,Stable,0.806,50.64
Carbon,6,15,9,6,8.982,116649.600995,Spontaneous Fission,0.267,82.12
Helium,2,7,5,2,6.623,560330.96728,Beta,0.065,87.3
Fluorine,9,30,21,9,3.026,708758.844589,Alpha,0.406,67.71
Fluorine,9,22,13,9,5.133,632421.052275,Alpha,0.171,71.84
Carbon,6,22,16,6,9.056,56354.023067,Alpha,0.791,82.25
Oxygen,8,22,14,8,7.78,235604.751217,Gamma,0.985,83.67
Lithium,3,9,6,3,2.505,949681.624171,Spontaneous Fission,0.826,96.67
Fluorine,9,36,27,9,8.359,92612.521771,Alpha,0.349,73.34
Fluorine,9,22,13,9,5.675,inf,Stable,0.11,72.33
Lithium,3,10,7,3,2.475,469541.583865,Gamma,0.9,54.34
Carbon,6,13,7,6,9.028,180342.302654,Alpha,0.305,84.18
Beryllium,4,12,8,4,4.09,inf,Stable,0.18,56.4
Beryllium,4,13,9,4,5.155,382265.689675,Beta,0.502,65.06
Helium,2,4,2,2,6.595,190074.243317,Gamma,0.759,71.35
Neon,10,33,23,10,5.983,927400.004246,Beta,0.573,53.56
Carbon,6,18,12,6,3.62,44618.734795,Spontaneous Fission,0.858,62.59
Boron,5,17,12,5,7.658,inf,Stable,0.867,72.4
Lithium,3,9,6,3,8.943,239199.455469,Spontaneous Fission,0.026,94.03
Carbon,6,16,10,6,3.347,353712.344197,Beta,0.71,81.59
Beryllium,4,11,7,4,6.666,149295.588827,Spontaneous Fission,0.343,91.95
Neon,10,36,26,10,1.754,712246.048618,Alpha,0.095,53.98
Neon,10,33,23,10,5.638,840050.090459,Alpha,0.871,83.71
Fluorine,9,35,26,9,8.132,751499.483613,Beta,0.427,87.2
Lithium,3,7,4,3,5.5,951678.027987,Gamma,0.705,95.32
Lithium,3,10,7,3,2.861,545558.835865,Spontaneous Fission,0.56,68.35
Oxygen,8,17,9,8,2.04,inf,Stable,0.062,79.62
Hydrogen,1,4,3,1,9.434,20006.780508,Gamma,0.804,87.84
Neon,10,39,29,10,7.358,inf,Stable,0.862,56.44
Nitrogen,7,15,8,7,6.619,542727.035193,Gamma,0.549,76.57
Oxygen,8,24,16,8,9.63,inf,Stable,0.114,97.72
Oxygen,8,16,8,8,3.162,898039.306447,Spontaneous Fission,0.61,51.96
Fluorine,9,26,17,9,2.598,939697.24805,Alpha,0.895,88.21
Fluorine,9,24,15,9,1.151,869309.084305,Beta,0.371,67.21
Beryllium,4,16,12,4,5.406,736756.535862,Spontaneous Fission,0.331,66.48
Oxygen,8,22,14,8,8.104,599144.959421,Beta,0.392,86.03
Lithium,3,7,4,3,5.391,inf,Stable,0.258,74.08
Boron,5,18,13,5,6.304,649666.164493,Gamma,0.291,76.3
Boron,5,17,12,5,1.621,479921.892397,Beta,0.865,95.2
Beryllium,4,9,5,4,3.201,875920.270119,Spontaneous Fission,0.728,57.87
Nitrogen,7,15,8,7,2.477,293531.15778,Beta,0.038,74.9
Neon,10,34,24,10,1.018,819878.980854,Gamma,0.842,88.18
Neon,10,28,18,10,6.505,171316.133946,Spontaneous Fission,0.553,98.09
Fluorine,9,29,20,9,3.822,266027.700204,Gamma,0.092,72.59
Oxygen,8,23,15,8,4.867,781823.642534,Alpha,0.178,94.22
Boron,5,20,15,5,7.473,50066.331842,Alpha,0.005,79.73
Lithium,3,6,3,3,1.285,949297.588198,Spontaneous Fission,0.235,73.79
Helium,2,7,5,2,6.539,inf,Stable,0.816,79.03
Nitrogen,7,15,8,7,4.125,798751.132828,Gamma,0.774,53.5
Carbon,6,23,17,6,6.354,205011.05213,Alpha,0.412,89.12
Lithium,3,8,5,3,1.962,2637.845374,Alpha,0.876,96.98
Hydrogen,1,4,3,1,8.167,774019.632505,Gamma,0.582,97.69
Fluorine,9,29,20,9,5.858,inf,Stable,0.126,98.07
Neon,10,20,10,10,5.513,661497.954854,Gamma,0.2,99.08
Beryllium,4,16,12,4,4.417,inf,Stable,0.766,76.97
Beryllium,4,15,11,4,8.287,523908.787958,Beta,0.127,68.1
Neon,10,38,28,10,4.488,921848.317755,Gamma,0.365,55.35
Beryllium,4,15,11,4,9.039,91415.529422,Gamma,0.806,79.16
Fluorine,9,18,9,9,1.468,inf,Stable,0.831,86.3
Beryllium,4,12,8,4,3.525,295675.723918,Gamma,0.939,96.38
Boron,5,10,5,5,9.961,414764.421499,Alpha,0.226,75.28
Fluorine,9,20,11,9,5.433,262559.546496,Beta,0.139,51.58
Beryllium,4,16,12,4,6.209,325278.002909,Spontaneous Fission,0.39,91.29
Helium,2,8,6,2,3.67,454047.706287,Alpha,0.354,63.86
Neon,10,22,12,10,5.583,593748.979683,Alpha,0.574,86.73
Hydrogen,1,3,2,1,4.618,432514.705651,Alpha,0.747,77.35
Fluorine,9,30,21,9,6.629,143908.994154,Beta,0.863,86.02
Hydrogen,1,4,3,1,5.738,inf,Stable,0.078,97.93
Carbon,6,19,13,6,8.227,949472.069384,Beta,0.835,96.8
Fluorine,9,21,12,9,7.692,233422.116087,Alpha,0.329,68.74
Beryllium,4,14,10,4,8.402,267523.864747,Spontaneous Fission,0.26,60.1
Neon,10,24,14,10,5.869,452784.161483,Beta,0.8,90.79
Fluorine,9,25,16,9,2.403,288799.939575,Alpha,0.508,72.66
Beryllium,4,16,12,4,3.343,inf,Stable,0.369,51.86
Fluorine,9,27,18,9,9.903,278802.757726,Beta,0.566,66.26
Lithium,3,12,9,3,2.743,654528.167004,Alpha,0.971,69.29
Lithium,3,7,4,3,6.739,332936.423487,Beta,0.558,92.12
Beryllium,4,12,8,4,3.858,99040.593151,Beta,0.935,96.21
Oxygen,8,28,20,8,1.977,497081.775661,Gamma,0.355,76.75
Nitrogen,7,19,12,7,1.26,inf,Stable,0.776,66.76
Beryllium,4,14,10,4,3.06,137309.800143,Gamma,0.679,96.28
Oxygen,8,24,16,8,7.453,756362.44172,Alpha,0.076,54.99
Oxygen,8,31,23,8,6.825,inf,Stable,0.775,81.02
Lithium,3,7,4,3,4.271,433488.575281,Gamma,0.39,79.42
Hydrogen,1,4,3,1,3.716,113754.322781,Beta,0.022,78.62
Hydrogen,1,3,2,1,2.7,393251.287666,Gamma,0.589,99.3
Boron,5,18,13,5,3.29,776417.11046,Beta,0.271,79.45
Nitrogen,7,19,12,7,4.687,45751.873388,Alpha,0.866,63.27
Helium,2,8,6,2,7.79,281503.053001,Gamma,0.385,87.67
Beryllium,4,10,6,4,3.124,inf,Stable,0.722,90.38
Nitrogen,7,21,14,7,4.618,inf,Stable,0.752,79.65
Fluorine,9,30,21,9,2.199,527883.690201,Spontaneous Fission,0.806,86.91
Neon,10,32,22,10,5.651,inf,Stable,0.224,97.57
Lithium,3,11,8,3,3.893,689166.878374,Gamma,0.1,91.71
Beryllium,4,8,4,4,2.476,59360.982467,Alpha,0.372,52.93
Hydrogen,1,3,2,1,5.785,inf,Stable,0.522,94.5
Beryllium,4,14,10,4,7.915,411089.916518,Alpha,0.895,94.98
Fluorine,9,26,17,9,3.662,160870.323393,Beta,0.547,67.57
Helium,2,6,4,2,5.939,628233.764065,Gamma,0.285,54.67
Boron,5,19,14,5,6.354,92724.499937,Beta,0.011,50.52
Hydrogen,1,3,2,1,6.084,697931.631755,Beta,0.021,58.23
Nitrogen,7,27,20,7,4.141,381903.333493,Beta,0.533,95.33
Neon,10,34,24,10,3.375,335585.636473,Gamma,0.825,81.07
Neon,10,39,29,10,6.795,inf,Stable,0.392,86.26
Lithium,3,12,9,3,9.485,51330.436053,Spontaneous Fission,0.321,62.84
Carbon,6,18,12,6,7.89,783861.457766,Alpha,0.152,71.94
Oxygen,8,21,13,8,1.956,inf,Stable,0.205,67.38
Lithium,3,7,4,3,6.135,873238.088735,Gamma,0.077,97.01
Carbon,6,22,16,6,6.566,inf,Stable,0.753,52.96
Boron,5,19,14,5,9.58,138782.31094,Spontaneous Fission,0.072,72.67
Carbon,6,23,17,6,7.298,94294.344027,Spontaneous Fission,0.195,73.24
Boron,5,16,11,5,7.612,73444.890349,Spontaneous Fission,0.937,85.76
Boron,5,14,9,5,6.423,469079.096449,Spontaneous Fission,0.141,91.89
Fluorine,9,19,10,9,8.185,562329.894284,Beta,0.154,83.95
Carbon,6,21,15,6,3.386,710682.332806,Beta,0.59,62.06
Oxygen,8,19,11,8,6.672,560564.627008,Alpha,0.611,62.51
Fluorine,9,28,19,9,6.712,805079.638076,Alpha,0.477,52.25
Oxygen,8,21,13,8,3.477,818652.322107,Gamma,0.247,85.75
Hydrogen,1,3,2,1,8.384,347819.112293,Alpha,0.778,98.32
Carbon,6,19,13,6,8.362,667189.218169,Alpha,0.391,84.22
Hydrogen,1,2,1,1,6.693,inf,Stable,0.46,75.57
Oxygen,8,26,18,8,8.067,857499.11598,Beta,0.192,82.12
Hydrogen,1,2,1,1,6.722,524426.274149,Alpha,0.995,93.95
Helium,2,4,2,2,8.059,277021.866159,Alpha,0.549,58.43
Nitrogen,7,23,16,7,9.253,inf,Stable,0.196,77.69
Fluorine,9,22,13,9,6.589,606138.974248,Alpha,0.08,85.51
Fluorine,9,29,20,9,2.211,inf,Stable,0.445,90.29
Carbon,6,16,10,6,2.044,835585.296634,Spontaneous Fission,0.088,60.05
Fluorine,9,27,18,9,4.003,173200.134083,Gamma,0.752,51.67
Neon,10,38,28,10,6.059,inf,Stable,0.835,67.21
Beryllium,4,11,7,4,1.747,301675.834591,Alpha,0.02,95.26
Beryllium,4,10,6,4,4.447,inf,Stable,0.602,99.08
Hydrogen,1,4,3,1,2.058,888351.937477,Gamma,0.674,56.84
Carbon,6,17,11,6,3.448,685121.889958,Gamma,0.467,91.44
Beryllium,4,12,8,4,5.839,77910.994405,Gamma,0.857,54.2
Oxygen,8,22,14,8,2.746,650858.394811,Gamma,0.915,71.15
Lithium,3,11,8,3,1.562,751321.429454,Alpha,0.89,99.82
Helium,2,6,4,2,1.838,64662.965794,Spontaneous Fission,0.621,98.09
Lithium,3,11,8,3,3.78,724624.745375,Gamma,0.173,81.36
Neon,10,39,29,10,2.819,22016.264155,Gamma,0.169,71.17
Hydrogen,1,4,3,1,6.388,374896.184364,Alpha,0.735,63.81
Neon,10,34,24,10,5.415,960630.161145,Gamma,0.747,87.48
Neon,10,32,22,10,1.919,408164.24408,Beta,0.651,98.15
Boron,5,18,13,5,8.995,606126.570264,Gamma,0.989,53.32
Fluorine,9,34,25,9,6.819,964734.197435,Beta,0.053,81.45
Helium,2,5,3,2,8.828,657035.633996,Spontaneous Fission,0.013,54.82
Nitrogen,7,23,16,7,8.585,985864.397581,Beta,0.936,89.06
Hydrogen,1,4,3,1,4.592,718883.850658,Beta,0.742,71.2
Hydrogen,1,2,1,1,2.328,461887.347047,Alpha,0.893,91.79
Beryllium,4,13,9,4,9.302,599783.736085,Beta,0.077,93.62
Helium,2,7,5,2,8.741,inf,Stable,0.822,55.83
Beryllium,4,11,7,4,8.08,912424.213918,Gamma,0.202,92.22
Nitrogen,7,25,18,7,6.05,699239.815518,Gamma,0.361,81.39
Boron,5,18,13,5,4.126,370355.819065,Beta,0.995,77.71
Nitrogen,7,25,18,7,4.488,inf,Stable,0.852,71.38
Helium,2,4,2,2,1.385,inf,Stable,0.974,72.92
Fluorine,9,28,19,9,2.333,311858.060397,Beta,0.423,63.8
Hydrogen,1,3,2,1,3.424,550390.048716,Gamma,0.337,83.26
Beryllium,4,14,10,4,6.403,138521.179939,Gamma,0.099,73.64
Carbon,6,16,10,6,5.073,884705.335066,Gamma,0.955,99.58
Beryllium,4,15,11,4,2.07,579345.328341,Gamma,0.641,54.44
Fluorine,9,25,16,9,2.017,inf,Stable,0.7,65.74
Lithium,3,9,6,3,7.854,346994.455903,Gamma,0.037,85.22
Carbon,6,24,18,6,9.491,740001.039813,Spontaneous Fission,0.829,83.13
Oxygen,8,23,15,8,1.585,817096.846119,Gamma,0.965,84.43
Hydrogen,1,3,2,1,8.371,713179.785181,Alpha,0.437,92.63
Beryllium,4,11,7,4,6.849,64084.345395,Gamma,0.236,75.0
Hydrogen,1,2,1,1,8.863,inf,Stable,0.737,82.63
Nitrogen,7,18,11,7,2.644,186965.099607,Alpha,0.414,54.65
Boron,5,17,12,5,5.113,97989.264589,Beta,0.718,74.17
Oxygen,8,17,9,8,9.935,472821.152458,Spontaneous Fission,0.367,61.09
Fluorine,9,35,26,9,3.766,736527.790911,Beta,0.25,94.76
Hydrogen,1,2,1,1,9.001,244569.85488,Spontaneous Fission,0.912,86.17
Helium,2,4,2,2,2.15,709856.353738,Beta,0.649,53.75
Beryllium,4,16,12,4,4.555,inf,Stable,0.542,77.93
Neon,10,26,16,10,1.012,525688.619025,Spontaneous Fission,0.512,54.45
Nitrogen,7,18,11,7,6.531,631918.4391,Alpha,0.925,75.46
Helium,2,5,3,2,8.492,526346.790699,Gamma,0.749,83.53
Neon,10,40,30,10,7.912,445562.268225,Gamma,0.741,82.61
Carbon,6,22,16,6,2.147,inf,Stable,0.081,66.06
Boron,5,20,15,5,6.576,729123.595368,Alpha,0.567,78.46
Carbon,6,16,10,6,9.01,194311.045345,Beta,0.715,67.25
Boron,5,10,5,5,5.655,124526.808285,Gamma,0.326,65.67
Fluorine,9,34,25,9,2.005,616795.903802,Gamma,0.473,65.28
Neon,10,35,25,10,3.878,inf,Stable,0.26,53.7
Helium,2,5,3,2,3.478,678812.793673,Spontaneous Fission,0.569,90.44
Helium,2,7,5,2,7.148,991759.222041,Beta,0.933,56.62
Helium,2,7,5,2,9.408,559390.973159,Gamma,0.608,77.85
Boron,5,16,11,5,6.697,180958.34708,Beta,0.076,63.16
Nitrogen,7,21,14,7,7.656,164869.067893,Spontaneous Fission,0.312,96.69
Fluorine,9,36,27,9,6.644,656123.080934,Gamma,0.451,65.55
Neon,10,24,14,10,8.925,398601.126975,Spontaneous Fission,0.767,55.28
Lithium,3,9,6,3,2.044,478568.787405,Alpha,0.374,96.08
Oxygen,8,25,17,8,7.962,447693.428912,Spontaneous Fission,0.983,68.87
Helium,2,4,2,2,3.458,195926.81326,Gamma,0.651,69.17
Helium,2,6,4,2,1.522,643141.547537,Spontaneous Fission,0.41,63.04
Fluorine,9,36,27,9,9.811,inf,Stable,0.617,89.72
Oxygen,8,20,12,8,2.223,358135.530251,Spontaneous Fission,0.403,80.76
Beryllium,4,13,9,4,4.046,774515.575579,Gamma,0.164,86.91
Oxygen,8,19,11,8,4.451,636464.424222,Alpha,0.004,74.55
Fluorine,9,21,12,9,4.296,331203.858458,Alpha,0.955,52.76
Neon,10,37,27,10,5.636,982206.804729,Gamma,0.558,54.75
Lithium,3,8,5,3,2.904,441268.628594,Spontaneous Fission,0.765,71.61
Carbon,6,21,15,6,8.166,444439.500663,Beta,0.784,73.91
Neon,10,21,11,10,8.579,634862.118495,Spontaneous Fission,0.78,63.17
Neon,10,34,24,10,4.047,545046.759411,Gamma,0.64,98.81
Hydrogen,1,4,3,1,6.222,995537.927288,Beta,0.344,72.72
Beryllium,4,14,10,4,8.377,213967.395124,Alpha,0.845,77.58
Oxygen,8,18,10,8,9.424,435917.262584,Beta,0.137,90.0
Neon,10,39,29,10,4.993,inf,Stable,0.501,87.53
Hydrogen,1,4,3,1,5.909,31147.840994,Gamma,0.265,66.4
Lithium,3,6,3,3,4.399,725763.198333,Spontaneous Fission,0.985,51.97
Boron,5,15,10,5,6.759,882177.27623,Alpha,0.014,90.02
Fluorine,9,28,19,9,7.961,249440.664925,Beta,0.896,91.01
Helium,2,5,3,2,3.64,655080.985021,Spontaneous Fission,0.287,58.17
Hydrogen,1,3,2,1,1.666,761333.015101,Spontaneous Fission,0.019,71.4
Fluorine,9,26,17,9,3.163,4554.302075,Beta,0.205,92.79
Hydrogen,1,3,2,1,2.715,577811.954692,Beta,0.089,67.93
Lithium,3,7,4,3,8.027,805732.896333,Alpha,0.899,63.78
Boron,5,16,11,5,4.622,88499.06558,Spontaneous Fission,0.03,93.52
Fluorine,9,24,15,9,2.489,641983.581878,Alpha,0.845,59.13
Helium,2,8,6,2,2.235,813307.001294,Gamma,0.819,97.31
Beryllium,4,10,6,4,2.327,343603.996794,Beta,0.04,75.9
Fluorine,9,36,27,9,8.178,789309.418498,Gamma,0.717,93.54
Helium,2,6,4,2,6.451,216346.046446,Beta,0.083,76.17
Nitrogen,7,14,7,7,2.567,inf,Stable,0.774,69.19
Helium,2,4,2,2,8.73,855331.217618,Spontaneous Fission,0.891,50.68
Beryllium,4,12,8,4,1.782,141700.475027,Beta,0.634,84.21
Beryllium,4,16,12,4,3.254,55397.604047,Gamma,0.82,85.22
Beryllium,4,12,8,4,4.586,inf,Stable,0.856,74.28
Helium,2,4,2,2,6.053,280647.135542,Beta,0.782,95.7
Beryllium,4,11,7,4,5.604,inf,Stable,0.65,59.18
Nitrogen,7,19,12,7,3.07,920318.027774,Spontaneous Fission,0.758,79.49
Nitrogen,7,28,21,7,7.026,inf,Stable,0.842,70.27
Nitrogen,7,26,19,7,1.636,616351.141839,Gamma,0.394,85.92
Carbon,6,21,15,6,8.894,inf,Stable,0.098,51.19
Fluorine,9,23,14,9,3.209,429247.376757,Spontaneous Fission,0.389,52.86
Oxygen,8,24,16,8,3.898,273101.451547,Beta,0.813,92.81
Fluorine,9,31,22,9,7.38,539235.283432,Beta,0.75,69.04
Neon,10,29,19,10,3.583,125075.788176,Gamma,0.225,62.06
Fluorine,9,35,26,9,3.342,295534.184109,Gamma,0.9,57.59
Nitrogen,7,14,7,7,3.908,630566.181248,Beta,0.777,88.05
Fluorine,9,30,21,9,5.611,805953.265477,Beta,0.608,57.06
Fluorine,9,26,17,9,7.895,636781.677385,Beta,0.839,54.47
Lithium,3,11,8,3,4.413,939822.340727,Alpha,0.857,79.28
Oxygen,8,28,20,8,1.781,323549.766126,Alpha,0.142,59.45
Nitrogen,7,27,20,7,8.624,inf,Stable,0.648,91.73
Nitrogen,7,18,11,7,2.792,106300.482662,Beta,0.593,65.47
Hydrogen,1,3,2,1,5.128,inf,Stable,0.071,82.25
Neon,10,21,11,10,9.809,749017.039804,Spontaneous Fission,0.977,70.08
Helium,2,8,6,2,8.553,inf,Stable,0.323,69.9
Lithium,3,7,4,3,7.155,719167.442807,Alpha,0.933,83.29
Carbon,6,22,16,6,5.267,inf,Stable,0.277,62.33
Nitrogen,7,24,17,7,4.033,488693.519529,Gamma,0.564,86.07
Hydrogen,1,4,3,1,3.518,458191.416968,Spontaneous Fission,0.881,65.18
Hydrogen,1,2,1,1,4.712,434483.982108,Gamma,0.672,50.94
Boron,5,17,12,5,8.896,1351.389985,Spontaneous Fission,0.693,80.0
Neon,10,23,13,10,8.752,73154.83562,Alpha,0.082,52.59
Fluorine,9,27,18,9,9.611,132727.081858,Gamma,0.325,56.32
Fluorine,9,23,14,9,4.277,845579.915809,Alpha,0.764,67.5
Helium,2,4,2,2,1.705,inf,Stable,0.551,90.46
Oxygen,8,32,24,8,4.257,inf,Stable,0.162,57.64
Boron,5,16,11,5,8.111,368037.969121,Alpha,0.146,78.66
Helium,2,4,2,2,6.542,523902.070581,Alpha,0.155,85.56
Carbon,6,21,15,6,7.961,940499.197253,Spontaneous Fission,0.157,92.05
Beryllium,4,15,11,4,9.78,83358.891402,Alpha,0.376,55.1
Lithium,3,8,5,3,2.157,331008.44366,Gamma,0.945,67.28
Beryllium,4,12,8,4,2.649,399875.577013,Beta,0.687,55.47
Helium,2,6,4,2,8.468,458931.36762,Beta,0.807,83.94
Fluorine,9,25,16,9,4.755,828739.070887,Beta,0.335,94.82
Oxygen,8,28,20,8,5.168,613358.624153,Spontaneous Fission,0.483,76.89
Carbon,6,16,10,6,6.23,826180.646422,Spontaneous Fission,0.459,91.7
Helium,2,4,2,2,4.699,inf,Stable,0.245,98.78
Boron,5,15,10,5,9.473,929268.332002,Alpha,0.848,52.15
Boron,5,17,12,5,3.173,600823.915357,Gamma,0.25,56.55
Boron,5,20,15,5,2.114,73663.495747,Beta,0.195,94.42
Carbon,6,15,9,6,2.817,inf,Stable,0.031,76.86
Beryllium,4,9,5,4,9.824,501069.9103,Alpha,0.257,69.43
Beryllium,4,12,8,4,5.831,inf,Stable,0.539,89.04
Hydrogen,1,2,1,1,5.067,679235.426674,Alpha,0.497,93.12
Neon,10,24,14,10,2.284,inf,Stable,0.587,61.01
Hydrogen,1,2,1,1,6.46,232273.655626,Gamma,0.175,64.5
Neon,10,35,25,10,8.27,142662.513237,Alpha,0.051,90.92
